year,nation,peoptrust,lifesat,decision,marital,war,leftrigh,religious,divorce,suicide,proud,sex,age,education,ethnic
1990,USA,trusted,satisf,9,married,yes,7,relig,5,never,very,male,61,21,white
1990,Sweden,trusted,9,9,as marr,yes,8,relig,5,never,very,female,29,"dk, na",not applicable
1990,France,trusted,4,7,single,no,3,not rel,always,6,quite,female,28,"dk, na",not applicable
1990,USA,trusted,9,8,married,yes,5,relig,5,4,very,female,39,21,white
1990,USA,trusted,satisf,grt deal,married,yes,5,relig,never,never,very,male,28,21,white
1990,USA,careful,9,6,married,yes,6,relig,never,never,very,male,39,21,white
1990,Britain,careful,8,none,married,no,left,not rel,always,never,quite,female,73,16,not applicable
1990,USA,trusted,4,9,married,yes,5,relig,3,never,very,male,45,21,white
1990,Sweden,trusted,9,8,divorced,yes,right,not rel,always,5,quite,female,41,21,not applicable
1990,Britain,trusted,8,grt deal,single,yes,8,relig,always,5,very,male,65,13,not applicable
1990,Britain,careful,2,5,married,no,7,relig,5,3,very,male,69,14,not applicable
1990,Sweden,trusted,8,7,as marr,yes,4,not rel,5,6,quite,male,30,21,not applicable
1990,USA,trusted,8,grt deal,married,yes,8,relig,never,never,very,female,61,"dk, na",white
1990,USA,careful,8,8,married,yes,5,relig,5,5,very,male,51,17,white
1990,Britain,trusted,7,6,married,no,4,not rel,7,never,not very,female,27,16,not applicable
1990,USA,careful,3,9,divorced,yes,3,not rel,8,never,very,male,63,13,white
1990,Britain,trusted,9,grt deal,married,yes,8,not rel,always,7,quite,male,51,16,not applicable
1990,Sweden,trusted,9,8,married,yes,8,not rel,7,8,not very,male,68,21,not applicable
1990,France,trusted,7,6,married,yes,7,not rel,5,3,very,female,60,20,not applicable
1990,USA,trusted,4,6,divorced,yes,7,not rel,always,never,quite,female,45,20,white
1990,France,careful,9,5,married,yes,8,not rel,never,6,very,female,30,17,not applicable
1990,USA,careful,9,8,married,yes,5,relig,5,2,very,female,32,17,white
1990,USA,trusted,satisf,8,divorced,no,6,relig,9,5,very,female,40,18,white
1990,Britain,trusted,5,none,as marr,yes,6,not rel,always,always,quite,male,58,14,not applicable
1990,USA,trusted,5,7,divorced,yes,3,relig,6,4,quite,female,50,21,white
1990,USA,trusted,8,6,married,yes,5,relig,6,never,very,female,68,16,white
1990,France,careful,5,4,married,no,5,relig,never,never,quite,male,35,16,not applicable
1990,Sweden,trusted,7,4,single,yes,7,not rel,8,never,quite,male,39,"dk, na",not applicable
1990,USA,careful,6,8,married,yes,8,relig,3,never,very,female,25,18,white
1990,France,careful,5,5,married,yes,3,not rel,8,never,very,male,36,13,not applicable
1990,USA,trusted,8,7,married,no,5,relig,8,never,very,male,33,18,white
1990,Britain,careful,7,8,widow,yes,2,not rel,5,never,quite,female,80,"dk, na",not applicable
1990,Sweden,careful,9,6,as marr,yes,2,relig,4,never,not very,female,33,21,not applicable
1990,USA,trusted,satisf,9,married,yes,5,relig,4,never,very,male,73,"dk, na",white
1990,Britain,trusted,8,8,as marr,yes,3,not rel,8,3,not very,female,29,20,not applicable
1990,USA,careful,8,8,married,yes,right,relig,never,2,very,male,67,21,white
1990,USA,careful,9,7,married,no,6,relig,3,3,very,male,67,"dk, na",white
1990,USA,trusted,9,9,married,yes,6,relig,5,never,quite,male,70,14,white
1990,Sweden,trusted,7,8,married,no,4,relig,7,3,quite,female,48,21,not applicable
1990,USA,trusted,9,8,married,yes,5,relig,9,never,very,male,65,17,black
1990,USA,careful,satisf,9,married,yes,9,relig,never,never,very,female,59,18,white
1990,USA,careful,satisf,7,married,yes,5,not rel,6,never,very,male,57,19,white
1990,Britain,trusted,7,5,married,yes,7,not rel,5,2,quite,male,32,21,not applicable
1990,France,careful,9,9,married,yes,9,relig,2,never,quite,female,56,18,not applicable
1990,USA,careful,9,6,married,yes,5,relig,never,never,very,male,71,18,white
1990,Britain,trusted,8,7,married,yes,7,not rel,9,2,very,male,55,17,not applicable
1990,Britain,trusted,3,3,single,yes,5,not rel,never,never,quite,male,32,16,not applicable
1990,Sweden,trusted,7,5,married,yes,3,not rel,5,never,quite,male,62,"dk, na",not applicable
1990,Britain,trusted,satisf,6,married,yes,6,relig,7,never,very,male,71,14,not applicable
1990,France,careful,7,none,as marr,yes,2,relig,8,never,quite,female,29,16,not applicable
1990,Sweden,careful,9,8,married,yes,5,not rel,6,4,very,female,52,"dk, na",not applicable
1990,France,careful,5,2,divorced,no,4,atheist,5,6,very,female,40,16,not applicable
1990,USA,trusted,8,7,married,yes,5,relig,3,never,very,female,86,18,white
1990,France,trusted,7,7,single,no,6,not rel,always,9,quite,female,18,17,not applicable
1990,France,careful,6,9,single,yes,5,not rel,8,never,very,male,31,21,not applicable
1990,France,careful,9,grt deal,widow,yes,9,relig,4,5,quite,female,61,16,not applicable
1990,USA,trusted,8,4,married,yes,4,relig,5,never,very,male,34,21,white
1990,USA,careful,9,8,widow,no,8,relig,5,2,very,female,89,21,white
1990,Sweden,trusted,8,5,married,yes,4,not rel,5,never,very,male,23,18,not applicable
1990,USA,careful,5,5,married,yes,5,relig,7,4,very,male,37,"dk, na",black
1990,USA,careful,4,6,divorced,no,5,relig,9,3,quite,male,54,18,white
1990,USA,trusted,9,9,single,yes,6,relig,7,never,very,male,30,19,white
1990,Sweden,careful,9,9,divorced,yes,9,not rel,9,5,very,male,45,"dk, na",not applicable
1990,Sweden,trusted,8,grt deal,married,yes,4,not rel,always,7,very,male,43,21,not applicable
1990,France,careful,7,5,married,yes,4,relig,5,never,very,female,62,12,not applicable
1990,Britain,careful,5,8,widow,yes,left,relig,5,5,quite,female,87,14,not applicable
1990,USA,careful,8,7,single,yes,5,relig,never,never,quite,male,19,21,white
1990,USA,trusted,8,8,single,no,7,relig,6,never,very,female,21,18,white
1990,USA,careful,8,7,married,yes,7,relig,6,never,very,male,50,21,white
1990,France,careful,7,8,single,no,9,not rel,5,2,quite,male,19,18,not applicable
1990,USA,trusted,7,grt deal,married,yes,3,relig,9,never,very,male,40,21,white
1990,USA,trusted,8,8,married,yes,5,relig,6,never,very,female,32,18,not applicable
1990,Sweden,trusted,8,6,married,yes,4,not rel,2,2,quite,male,62,"dk, na",not applicable
1990,Sweden,careful,6,3,married,no,5,relig,5,never,not very,female,28,21,not applicable
1990,Britain,careful,8,7,single,no,5,atheist,6,5,notatall,female,18,16,not applicable
1990,Britain,careful,8,8,married,yes,5,relig,7,never,quite,male,55,15,not applicable
1990,USA,careful,5,4,widow,yes,right,relig,never,never,very,female,70,12,white
1990,France,careful,8,5,married,no,left,relig,2,3,quite,female,25,16,not applicable
1990,Britain,careful,5,5,married,yes,2,not rel,always,7,very,female,19,16,not applicable
1990,USA,trusted,8,3,single,yes,7,relig,3,never,very,male,22,21,white
1990,Sweden,trusted,7,6,single,yes,9,atheist,always,always,not very,male,22,21,not applicable
1990,Britain,trusted,8,4,divorced,yes,2,not rel,9,3,very,female,36,16,not applicable
1990,USA,trusted,7,9,married,yes,5,not rel,5,3,quite,male,37,"dk, na",white
1990,Sweden,trusted,7,8,married,yes,6,not rel,8,6,quite,female,30,21,not applicable
1990,Britain,trusted,6,6,married,yes,7,relig,never,never,very,male,61,14,not applicable
1990,USA,trusted,9,9,single,yes,3,relig,always,7,very,male,36,21,white
1990,USA,trusted,8,5,married,yes,5,relig,5,never,very,male,39,19,white
1990,USA,trusted,8,7,married,no,5,relig,6,6,very,female,58,21,white
1990,Sweden,trusted,8,8,married,yes,8,not rel,8,2,notatall,male,47,21,not applicable
1990,Britain,careful,satisf,8,married,no,left,relig,5,never,very,female,34,15,not applicable
1990,USA,careful,4,3,married,no,left,relig,2,2,quite,male,40,21,white
1990,Britain,trusted,7,6,married,yes,7,relig,5,5,very,male,41,17,not applicable
1990,Sweden,careful,9,9,divorced,yes,left,not rel,always,never,very,female,62,"dk, na",not applicable
1990,USA,trusted,8,9,married,yes,6,relig,8,5,very,male,40,18,white
1990,USA,trusted,4,3,married,yes,6,relig,7,5,quite,female,38,21,white
1990,USA,trusted,satisf,grt deal,married,yes,5,relig,always,always,very,female,43,21,white
1990,USA,careful,4,5,widow,yes,5,relig,never,never,very,female,67,18,white
1990,France,careful,9,grt deal,married,yes,left,not rel,5,2,quite,male,68,14,not applicable
1990,USA,careful,8,grt deal,married,yes,8,relig,never,never,very,female,31,18,white
1990,USA,trusted,7,8,married,yes,7,not rel,always,2,very,male,57,21,white
1990,Britain,trusted,8,5,married,yes,6,relig,5,3,very,female,48,17,not applicable
1990,Sweden,careful,6,8,single,yes,6,not rel,6,4,not very,female,26,21,not applicable
1990,Britain,trusted,7,7,widow,yes,right,not rel,5,never,quite,female,72,21,not applicable
1990,USA,trusted,dissatis,3,married,yes,5,relig,always,5,very,female,68,18,white
1990,Britain,trusted,8,8,married,yes,8,relig,5,never,quite,female,38,21,not applicable
1990,USA,careful,7,7,married,yes,6,relig,5,never,very,male,33,18,white
1990,USA,trusted,8,8,married,yes,5,relig,always,never,very,female,31,19,white
1990,Britain,careful,8,9,married,yes,8,not rel,5,2,quite,male,27,21,not applicable
1990,Britain,careful,8,3,married,no,5,not rel,7,8,very,female,56,15,not applicable
1990,Britain,trusted,9,8,married,yes,5,not rel,9,never,very,female,58,12,not applicable
1990,Sweden,trusted,9,8,married,yes,8,relig,4,never,very,male,43,16,not applicable
1990,Britain,trusted,satisf,8,married,yes,6,atheist,6,4,quite,male,33,16,not applicable
1990,Sweden,careful,satisf,7,married,yes,3,not rel,5,never,quite,male,38,"dk, na",not applicable
1990,USA,trusted,satisf,grt deal,married,yes,5,relig,2,never,very,male,55,17,white
1990,France,careful,7,6,married,yes,3,relig,6,2,very,male,31,17,not applicable
1990,USA,careful,7,7,married,yes,5,relig,6,never,very,male,72,18,white
1990,Sweden,trusted,8,6,married,yes,7,not rel,3,3,very,female,26,18,not applicable
1990,France,careful,7,8,married,yes,5,not rel,8,5,very,male,28,21,not applicable
1990,USA,trusted,6,8,married,yes,5,relig,5,5,quite,male,26,17,white
1990,Britain,careful,5,5,single,yes,5,relig,5,4,not very,female,23,17,not applicable
1990,Britain,careful,satisf,grt deal,widow,yes,right,relig,never,never,very,male,64,14,not applicable
1990,France,careful,8,7,married,yes,7,relig,never,never,very,male,45,16,not applicable
1990,USA,careful,8,6,married,no,5,relig,4,never,very,female,44,17,white
1990,USA,trusted,9,9,married,yes,8,relig,5,3,very,female,48,18,black
1990,Britain,careful,9,8,married,yes,6,relig,7,3,very,male,85,14,not applicable
1990,USA,careful,9,7,married,yes,5,relig,never,never,very,female,35,21,white
1990,Britain,careful,satisf,8,married,yes,5,relig,5,never,very,female,55,16,not applicable
1990,France,careful,5,5,single,yes,4,relig,8,never,very,female,28,20,not applicable
1990,Sweden,careful,8,8,married,yes,9,relig,3,never,quite,female,35,21,not applicable
1990,Britain,careful,satisf,8,married,yes,6,atheist,always,5,very,male,34,16,not applicable
1990,Britain,trusted,6,4,married,yes,3,relig,never,3,very,female,82,13,not applicable
1990,USA,trusted,7,8,married,no,5,not rel,8,5,very,female,32,21,white
1990,Sweden,trusted,9,8,married,yes,4,relig,5,never,quite,male,38,"dk, na",not applicable
1990,Sweden,trusted,7,8,divorced,yes,7,atheist,8,9,quite,female,51,21,not applicable
1990,France,careful,9,6,married,yes,4,relig,8,5,quite,female,29,21,not applicable
1990,France,careful,7,7,single,yes,6,relig,5,5,very,male,20,"dk, na",not applicable
1990,USA,careful,9,7,married,yes,6,relig,9,7,quite,male,30,21,white
1990,Britain,careful,6,grt deal,single,no,8,not rel,7,never,quite,female,25,16,not applicable
1990,Britain,trusted,8,5,married,yes,6,not rel,5,4,quite,male,28,14,not applicable
1990,USA,trusted,9,grt deal,married,yes,2,relig,never,never,very,female,51,21,white
1990,France,careful,6,5,married,yes,5,relig,8,never,very,female,51,14,not applicable
1990,USA,trusted,satisf,8,single,yes,7,relig,3,never,very,male,18,18,white
1990,Sweden,trusted,satisf,8,as marr,yes,3,relig,always,5,very,female,41,"dk, na",not applicable
1990,USA,trusted,9,grt deal,divorced,yes,7,relig,3,never,very,male,56,21,white
1990,Britain,trusted,satisf,5,married,yes,3,atheist,8,8,quite,male,36,"dk, na",not applicable
1990,Sweden,trusted,7,6,single,yes,7,not rel,7,4,very,male,45,"dk, na",not applicable
1990,Sweden,trusted,8,7,as marr,yes,8,not rel,always,7,quite,female,49,21,not applicable
1990,Britain,trusted,9,grt deal,married,yes,9,relig,never,always,very,female,54,16,not applicable
1990,Britain,careful,6,7,single,yes,4,relig,5,5,quite,female,18,18,not applicable
1990,Britain,trusted,satisf,4,single,yes,8,not rel,7,never,not very,male,25,17,not applicable
1990,Britain,careful,6,5,married,no,5,relig,9,never,not very,female,29,15,not applicable
1990,Britain,careful,6,6,widow,yes,4,not rel,9,2,quite,male,68,15,not applicable
1990,USA,trusted,dissatis,6,married,yes,7,relig,5,never,very,female,25,"dk, na",7
1990,Britain,careful,7,8,married,no,5,relig,5,never,quite,female,29,16,not applicable
1990,USA,trusted,satisf,8,as marr,yes,7,relig,4,never,very,male,34,18,black
1990,France,careful,7,7,married,no,6,relig,5,5,very,female,50,14,not applicable
1990,Britain,trusted,7,5,single,yes,5,not rel,5,4,very,male,21,16,not applicable
1990,USA,careful,8,9,divorced,no,7,relig,always,never,quite,male,45,17,black
1990,USA,trusted,5,grt deal,married,yes,5,relig,5,never,very,male,59,17,white
1990,Sweden,careful,satisf,grt deal,married,yes,6,not rel,5,never,quite,female,34,21,not applicable
1990,USA,trusted,satisf,grt deal,single,yes,5,relig,always,never,quite,male,67,19,white
1990,USA,careful,9,9,married,yes,6,relig,7,never,notatall,male,48,20,white
1990,Sweden,trusted,8,grt deal,divorced,yes,5,relig,7,never,very,male,54,"dk, na",not applicable
1990,Sweden,careful,9,9,as marr,yes,7,not rel,5,8,quite,male,24,21,not applicable
1990,Britain,careful,7,7,married,no,4,relig,7,5,quite,male,32,21,not applicable
1990,USA,trusted,7,grt deal,widow,no,5,relig,7,never,very,female,67,19,white
1990,France,careful,7,5,single,no,left,relig,7,5,quite,male,20,"dk, na",not applicable
1990,USA,trusted,9,9,married,yes,7,relig,5,never,quite,male,47,21,white
1990,USA,careful,satisf,9,married,yes,right,relig,5,never,very,female,39,17,white
1990,Sweden,careful,7,8,as marr,yes,5,not rel,9,8,quite,male,33,21,not applicable
1990,Sweden,trusted,9,9,as marr,yes,9,not rel,5,never,very,female,38,"dk, na",not applicable
1990,France,careful,6,6,married,no,5,relig,6,5,quite,female,23,20,not applicable
1990,USA,trusted,9,8,married,yes,6,relig,5,never,very,male,30,21,white
1990,Sweden,trusted,8,9,married,yes,5,relig,8,never,very,male,38,"dk, na",not applicable
1990,Sweden,careful,7,7,single,yes,right,not rel,5,4,very,male,24,19,not applicable
1990,Britain,careful,6,8,married,no,5,relig,5,never,quite,male,77,16,not applicable
1990,Britain,trusted,8,7,married,yes,8,not rel,always,6,quite,female,25,21,not applicable
1990,USA,careful,2,4,married,no,5,relig,2,never,very,male,58,"dk, na",black
1990,Britain,trusted,5,6,single,yes,5,relig,5,never,quite,female,26,16,not applicable
1990,USA,trusted,8,9,married,yes,5,relig,5,never,very,male,38,21,white
1990,France,careful,6,4,single,yes,4,relig,7,2,quite,male,18,18,not applicable
1990,Sweden,trusted,6,8,married,yes,5,not rel,8,3,quite,male,42,21,not applicable
1990,France,careful,6,7,married,no,2,relig,always,6,quite,female,27,17,not applicable
1990,Britain,careful,3,3,married,no,6,relig,5,4,quite,female,39,16,not applicable
1990,France,careful,5,3,married,yes,2,relig,4,2,quite,male,57,20,not applicable
1990,USA,trusted,7,7,divorced,yes,7,relig,5,never,very,female,32,16,white
1990,France,careful,2,6,married,yes,right,relig,5,5,not very,female,42,15,not applicable
1990,USA,careful,satisf,grt deal,married,yes,6,relig,always,always,very,female,71,12,white
1990,USA,careful,9,7,married,yes,5,not rel,2,2,very,female,22,20,white
1990,Britain,trusted,2,3,married,yes,5,not rel,always,5,not very,female,57,15,not applicable
1990,Sweden,trusted,8,6,single,yes,2,atheist,9,9,not very,male,31,21,not applicable
1990,Britain,trusted,8,6,married,yes,3,not rel,6,7,very,male,29,18,not applicable
1990,USA,careful,satisf,9,married,yes,5,relig,5,2,very,female,66,16,black
1990,USA,trusted,6,grt deal,married,no,5,relig,never,never,notatall,female,36,20,white
1990,France,careful,9,5,married,no,6,relig,3,3,quite,female,27,16,not applicable
1990,Britain,careful,9,7,married,yes,7,atheist,5,never,very,male,36,16,not applicable
1990,USA,careful,7,5,married,yes,6,relig,4,3,quite,male,38,15,7
